sequence,latency,cpu,memory,risk,severity,trend,likely_cause,prediction,actual_phase,actual_anomaly,root_cause,evidence,explanation,recommended_action
56,64.41,28.29,81.59,53.72,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
57,63.52,24.22,79.5,46.5,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
58,62.84,26.91,80.62,48.05,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
59,67.65,30.27,80.49,52.66,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
60,72.87,27.65,82.8,58.16,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
61,71.3,26.53,79.9,52.46,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
62,72.04,29.09,81.47,55.5,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
63,73.24,30.2,80.36,58.14,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
64,67.25,29.73,81.86,52.55,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
65,74.76,27.99,81.45,56.48,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
66,76.62,29.73,81.57,54.9,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
67,76.6,29.61,81.87,60.05,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
68,79.76,36.94,82.57,63.04,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
69,73.37,31.53,82.27,56.49,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
70,82.06,36.55,85.08,65.62,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,early_degradation,0,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
71,82.28,38.41,82.76,66.16,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
72,85.1,34.92,82.81,66.92,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
73,81.55,36.01,82.03,64.07,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
74,87.6,44.53,81.13,61.74,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
75,92.73,33.61,82.45,63.93,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
76,97.08,39.5,82.17,62.77,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
77,91.1,42.21,82.66,62.96,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
78,97.95,41.17,82.93,67.34,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Early latency degradation,Response latency is above the stable baseline,The service is showing early signs of latency degradation.,Continue monitoring latency closely and investigate the source of increasing response time.
79,109.96,43.8,82.04,68.77,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
80,102.67,40.77,84.54,67.58,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
81,100.01,43.28,84.47,66.7,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
82,111.16,40.88,84.01,65.35,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
83,106.38,43.38,85.9,65.59,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
84,113.63,42.42,85.42,64.39,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
85,125.87,50.17,83.68,65.11,WARNING,DETERIORATING,Latency degradation,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
86,113.39,51.73,84.54,62.95,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
87,121.25,51.12,84.57,63.91,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
88,120.67,39.93,84.7,62.54,WARNING,MIXED / STABLE,Latency degradation,No strong failure trajectory detected,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
89,121.89,46.77,87.03,67.39,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
90,116.86,50.06,86.04,66.19,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
91,137.52,47.93,87.07,63.01,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
92,130.76,50.16,86.71,62.91,WARNING,MIXED / STABLE,Combined resource pressure,No strong failure trajectory detected,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
93,134.43,52.16,86.61,67.39,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
94,132.91,55.17,87.29,69.17,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
95,148.87,51.98,88.67,68.64,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
96,126.65,56.1,87.64,67.31,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
97,144.76,55.55,87.21,65.9,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
98,141.59,56.51,88.27,67.15,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
99,150.22,57.06,88.51,68.17,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
100,152.3,62.44,88.5,68.77,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,warning,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
101,143.78,58.32,88.6,67.25,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
102,163.46,60.97,88.37,69.5,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
103,177.93,60.29,88.99,70.79,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
104,174.08,62.45,89.71,71.46,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
105,192.1,66.58,90.15,72.58,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Memory pressure,Memory utilization is high | Response latency is elevated,High memory utilization may be contributing to degraded service performance.,"Investigate memory-consuming processes, check for memory leaks and reduce unnecessary memory usage."
106,193.31,67.22,89.13,72.99,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
107,204.99,65.82,89.73,74.74,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Latency degradation,Response latency is significantly above normal | CPU and memory are not the primary contributors,The main observed problem is increased service response latency.,"Investigate slow requests, database operations, network delays and service response bottlenecks."
108,216.6,64.79,91.6,74.24,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Memory pressure,Memory utilization is high | Response latency is elevated,High memory utilization may be contributing to degraded service performance.,"Investigate memory-consuming processes, check for memory leaks and reduce unnecessary memory usage."
109,207.95,64.63,91.13,71.27,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Memory pressure,Memory utilization is high | Response latency is elevated,High memory utilization may be contributing to degraded service performance.,"Investigate memory-consuming processes, check for memory leaks and reduce unnecessary memory usage."
110,236.59,71.18,90.99,72.46,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
111,236.06,67.65,90.82,69.22,WARNING,DETERIORATING,Combined resource pressure,System is moving toward critical degradation,critical,1,Memory pressure,Memory utilization is high | Response latency is elevated,High memory utilization may be contributing to degraded service performance.,"Investigate memory-consuming processes, check for memory leaks and reduce unnecessary memory usage."
112,236.54,74.3,90.92,70.42,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
113,242.99,71.45,91.64,70.12,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
114,254.68,70.98,91.78,70.09,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
115,274.01,72.96,91.49,72.73,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
116,282.55,71.17,91.01,71.06,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
117,277.59,75.91,92.66,73.72,CRITICAL,DETERIORATING,Combined resource pressure,HIGH probability of imminent failure,critical,1,Combined resource pressure,Response latency is extremely high | CPU utilization is high | Memory utilization is high,"The service is experiencing simultaneous CPU, memory and latency pressure.","Investigate CPU and memory intensive operations, reduce workload and inspect resource-consuming processes."
